PID,Price,PName,Unit
1,71.4,kscott0,CNY
2,32.64,sdean1,USD
3,61.77,crogers2,PHP
4,11.05,sford3,EUR
5,54.18,cporter4,IDR
6,3.03,dross5,MXN
7,96.14,wgonzales6,CNY
8,48.87,pking7,BAM
9,46.31,dallen8,AMD
10,82.71,jknight9,RUB
11,15.5,cknighta,NGN
12,23.98,tbakerb,IDR
13,24.97,sfordc,CNY
14,85.06,jrogersd,RUB
15,92.48,thendersone,MKD
16,25.53,tgreenef,HRK
17,11.4,lmitchellg,PLN
18,30.05,gcampbellh,USD
19,13.09,cknighti,CNY
20,62.51,knguyenj,LKR
21,45.51,mspencerk,BRL
22,91.69,hjacobsl,KRW
23,69.96,cryanm,EUR
24,13.82,prileyn,PEN
25,14.72,hwoodo,USD
26,63.76,mmitchellp,IDR
27,3.31,sweaverq,MGA
28,11.61,schavezr,CNY
29,65.46,alewiss,BWP
30,22.38,arileyt,CNY
31,77.79,jburkeu,MUR
32,41.79,vwebbv,MKD
33,95.35,pperezw,CNY
34,80.23,nruizx,LRD
35,43.08,eshawy,ALL
36,4.35,jweaverz,RUB
37,41.51,amills10,PLN
38,53.77,cellis11,IDR
39,91.36,gspencer12,USD
40,23.23,tvasquez13,CNY
41,73.26,jtaylor14,PKR
42,54.73,agonzalez15,RUB
43,91.05,jboyd16,BRL
44,9.71,awood17,NIO
45,32.46,cford18,BRL
46,39.12,eshaw19,MYR
47,31.64,prussell1a,PHP
48,66.56,rgardner1b,CNY
49,67.73,acooper1c,CNY
50,45.95,pcarter1d,RUB
51,5.97,kstone1e,CNY
52,55.58,jcampbell1f,EGP
53,22.68,awalker1g,ALL
54,82.65,swallace1h,EUR
55,98.64,areed1i,IDR
56,78.3,lmurray1j,RUB
57,59.29,doliver1k,CNY
58,32.29,mjordan1l,CNY
59,28.42,aford1m,USD
60,30.95,smartin1n,IDR
61,93.02,jharris1o,RSD
62,20.37,fsimpson1p,CNY
63,99.0,cgriffin1q,CNY
64,84.65,rmurphy1r,COP
65,74.53,akim1s,PLN
66,3.11,vwilliamson1t,EUR
67,87.32,ralvarez1u,IDR
68,46.53,gmorris1v,CNY
69,19.91,kwarren1w,IDR
70,11.62,maustin1x,IDR
71,15.12,khart1y,BRL
72,47.8,ebryant1z,JPY
73,19.12,jlittle20,CNY
74,63.64,hstevens21,ZAR
75,65.69,adixon22,JOD
76,72.86,wlewis23,CNY
77,15.86,jbishop24,IDR
78,39.07,cgonzales25,EUR
79,32.57,pbaker26,BAM
80,14.02,mtorres27,PLN
81,20.01,wcooper28,EUR
82,19.51,jsims29,JMD
83,29.25,rmatthews2a,PLN
84,23.13,pshaw2b,USD
85,77.78,smorgan2c,IDR
86,3.43,jgonzales2d,RUB
87,32.88,hgriffin2e,AMD
88,16.0,lwallace2f,PHP
89,79.25,kwells2g,PHP
90,11.49,fbishop2h,ILS
91,2.95,pfisher2i,ALL
92,9.22,lrivera2j,VND
93,21.91,ppierce2k,SEK
94,5.48,dscott2l,MMK
95,56.32,selliott2m,VND
96,88.69,sharvey2n,NOK
97,60.0,amartin2o,BRL
98,26.59,hmorgan2p,CAD
99,57.89,pwilson2q,CNY
100,13.17,slopez2r,TND
101,32.67,kfuller2s,EUR
102,14.86,rwalker2t,EUR
103,65.79,awalker2u,IDR
104,41.5,lharvey2v,JPY
105,24.61,wholmes2w,XAF
106,10.03,hlawson2x,CNY
107,75.17,pwilson2y,CNY
108,19.65,gsullivan2z,TZS
109,82.87,jbishop30,EUR
110,12.56,towens31,CNY
111,1.55,dpatterson32,RUB
112,37.1,jrobertson33,PHP
113,7.3,jdiaz34,CUP
114,83.59,jortiz35,BOB
115,31.52,drichards36,USD
116,99.35,toliver37,AZN
117,5.38,epayne38,BOB
118,90.18,dbowman39,COP
119,77.22,bking3a,IDR
120,47.77,hwatson3b,CNY
121,79.42,smccoy3c,USD
122,40.89,psims3d,SEK
123,40.16,jadams3e,ARS
124,79.04,nmcdonald3f,CNY
125,75.5,amartin3g,CNY
126,42.0,pmeyer3h,PLN
127,92.97,dhoward3i,ARS
128,17.92,lwallace3j,IDR
129,86.47,jphillips3k,TND
130,46.94,jbanks3l,UAH
131,28.54,lmurphy3m,IDR
132,75.33,areynolds3n,IDR
133,47.39,jray3o,LKR
134,62.6,pjacobs3p,IDR
135,91.36,rgrant3q,NPR
136,7.88,ldean3r,CNY
137,89.56,kthomas3s,EUR
138,32.07,sburns3t,IDR
139,74.05,hreed3u,PKR
140,82.63,creed3v,HKD
141,57.82,kmartinez3w,PLN
142,91.0,twarren3x,BRL
143,57.04,hreyes3y,BGN
144,68.12,wwatson3z,THB
145,7.51,awatkins40,CNY
146,29.1,ehenderson41,EUR
147,58.73,bcunningham42,MKD
148,12.52,wstanley43,SYP
149,50.77,ijohnson44,IDR
150,63.56,nspencer45,RUB
151,10.55,jburns46,PHP
152,45.79,mclark47,CNY
153,58.71,lgilbert48,THB
154,40.97,asims49,IDR
155,61.21,estevens4a,CNY
156,37.2,dhunt4b,IDR
157,78.16,jhall4c,IDR
158,9.0,vdaniels4d,IDR
159,35.28,rmurphy4e,GHS
160,37.78,jsnyder4f,BRL
161,98.02,wbradley4g,THB
162,23.91,hspencer4h,IDR
163,64.97,mrichards4i,VND
164,18.8,cryan4j,RUB
165,55.96,kfranklin4k,MXN
166,52.84,wryan4l,COP
167,84.23,cprice4m,PEN
168,47.92,jgray4n,ILS
169,92.1,jtorres4o,USD
170,20.67,jcook4p,EUR
171,26.29,aroberts4q,CNY
172,12.91,jmyers4r,OMR
173,81.53,iduncan4s,SEK
174,21.98,kwheeler4t,AUD
175,12.28,speterson4u,CNY
176,48.78,bellis4v,CNY
177,19.51,cgraham4w,CNY
178,72.68,rwheeler4x,USD
179,32.33,cbowman4y,EUR
